id_vendedor,nombre,descripcion,precio,cantidad,activo,aprobado
43,VR Headset Lote 3,Excelente VR Headset disponible en tienda electronica. ID Registro: 57.,811.34,66,1,1
47,Laptop Lote 3,Excelente Laptop disponible en tienda electronica. ID Registro: 58.,1938.62,67,1,1
51,Drone Lote 3,Excelente Drone disponible en tienda electronica. ID Registro: 59.,1708.47,68,1,1
55,Headphones Lote 3,Excelente Headphones disponible en tienda electronica. ID Registro: 60.,134.21,69,1,1
59,Projector Lote 3,Excelente Projector disponible en tienda electronica. ID Registro: 61.,306.74,70,1,1
63,Graphics Card Lote 3,Excelente Graphics Card disponible en tienda electronica. ID Registro: 62.,1166.64,71,1,1
69,Monitor Lote 3,Excelente Monitor disponible en tienda electronica. ID Registro: 63.,913.12,72,1,1
73,Hard Disk Lote 3,Excelente Hard Disk disponible en tienda electronica. ID Registro: 64.,68.62,73,1,1
78,Camera Lote 3,Excelente Camera disponible en tienda electronica. ID Registro: 65.,1553.53,74,1,1
81,Gaming Console Lote 3,Excelente Gaming Console disponible en tienda electronica. ID Registro: 66.,392.04,75,1,1
85,Keyboard Lote 3,Excelente Keyboard disponible en tienda electronica. ID Registro: 67.,123.94,76,1,1
89,Smart TV Lote 3,Excelente Smart TV disponible en tienda electronica. ID Registro: 68.,1887.14,77,1,1
93,Router Lote 3,Excelente Router disponible en tienda electronica. ID Registro: 69.,88.29,78,1,1
97,Speaker Lote 3,Excelente Speaker disponible en tienda electronica. ID Registro: 70.,445.64,79,1,1
102,Smart Home Hub Lote 3,Excelente Smart Home Hub disponible en tienda electronica. ID Registro: 71.,130.92,80,1,1
105,Smartphone Lote 3,Excelente Smartphone disponible en tienda electronica. ID Registro: 72.,339.4,81,1,1
109,Smartwatch Lote 4,Excelente Smartwatch disponible en tienda electronica. ID Registro: 73.,244.74,82,1,1
113,Scanner Lote 4,Excelente Scanner disponible en tienda electronica. ID Registro: 74.,270.96,83,1,1
117,USB Drive Lote 4,Excelente USB Drive disponible en tienda electronica. ID Registro: 75.,5.44,84,1,1
17,Printer Lote 4,Excelente Printer disponible en tienda electronica. ID Registro: 76.,279.8,85,1,1
21,Tablet Lote 4,Excelente Tablet disponible en tienda electronica. ID Registro: 77.,796.53,86,1,1
26,Power Bank Lote 4,Excelente Power Bank disponible en tienda electronica. ID Registro: 78.,49.38,87,1,1
29,Charger Lote 4,Excelente Charger disponible en tienda electronica. ID Registro: 79.,18.02,88,1,1
33,Mouse Lote 4,Excelente Mouse disponible en tienda electronica. ID Registro: 80.,19.42,89,1,1
39,VR Headset Lote 4,Excelente VR Headset disponible en tienda electronica. ID Registro: 81.,811.34,90,1,1
43,Laptop Lote 4,Excelente Laptop disponible en tienda electronica. ID Registro: 82.,1938.62,91,1,1
47,Drone Lote 4,Excelente Drone disponible en tienda electronica. ID Registro: 83.,1708.47,92,1,1
51,Headphones Lote 4,Excelente Headphones disponible en tienda electronica. ID Registro: 84.,134.21,93,1,1
55,Projector Lote 4,Excelente Projector disponible en tienda electronica. ID Registro: 85.,306.74,94,1,1
59,Graphics Card Lote 4,Excelente Graphics Card disponible en tienda electronica. ID Registro: 86.,1166.64,95,1,1
63,Monitor Lote 4,Excelente Monitor disponible en tienda electronica. ID Registro: 87.,913.12,96,1,1
69,Hard Disk Lote 4,Excelente Hard Disk disponible en tienda electronica. ID Registro: 88.,68.62,97,1,1
73,Camera Lote 4,Excelente Camera disponible en tienda electronica. ID Registro: 89.,1553.53,98,1,1
78,Gaming Console Lote 4,Excelente Gaming Console disponible en tienda electronica. ID Registro: 90.,392.04,99,1,1
81,Keyboard Lote 4,Excelente Keyboard disponible en tienda electronica. ID Registro: 91.,123.94,100,1,1
85,Smart TV Lote 4,Excelente Smart TV disponible en tienda electronica. ID Registro: 92.,1887.14,101,1,1
89,Router Lote 4,Excelente Router disponible en tienda electronica. ID Registro: 93.,88.29,102,1,1
93,Speaker Lote 4,Excelente Speaker disponible en tienda electronica. ID Registro: 94.,445.64,103,1,1
97,Smart Home Hub Lote 4,Excelente Smart Home Hub disponible en tienda electronica. ID Registro: 95.,130.92,104,1,1
102,Smartphone Lote 4,Excelente Smartphone disponible en tienda electronica. ID Registro: 96.,339.4,105,1,1
105,Smartwatch Lote 5,Excelente Smartwatch disponible en tienda electronica. ID Registro: 97.,244.74,106,1,1
109,Scanner Lote 5,Excelente Scanner disponible en tienda electronica. ID Registro: 98.,270.96,107,1,1
113,USB Drive Lote 5,Excelente USB Drive disponible en tienda electronica. ID Registro: 99.,5.44,108,1,1
117,Printer Lote 5,Excelente Printer disponible en tienda electronica. ID Registro: 100.,279.8,109,1,1
17,Tablet Lote 5,Excelente Tablet disponible en tienda electronica. ID Registro: 101.,796.53,110,1,1
21,Power Bank Lote 5,Excelente Power Bank disponible en tienda electronica. ID Registro: 102.,49.38,111,1,1
26,Charger Lote 5,Excelente Charger disponible en tienda electronica. ID Registro: 103.,18.02,112,1,1
29,Mouse Lote 5,Excelente Mouse disponible en tienda electronica. ID Registro: 104.,19.42,113,1,1
33,VR Headset Lote 5,Excelente VR Headset disponible en tienda electronica. ID Registro: 105.,811.34,114,1,1
39,Laptop Lote 5,Excelente Laptop disponible en tienda electronica. ID Registro: 106.,1938.62,115,1,1
43,Drone Lote 5,Excelente Drone disponible en tienda electronica. ID Registro: 107.,1708.47,116,1,1
47,Headphones Lote 5,Excelente Headphones disponible en tienda electronica. ID Registro: 108.,134.21,117,1,1
51,Projector Lote 5,Excelente Projector disponible en tienda electronica. ID Registro: 109.,306.74,118,1,1
55,Graphics Card Lote 5,Excelente Graphics Card disponible en tienda electronica. ID Registro: 110.,1166.64,119,1,1
59,Monitor Lote 5,Excelente Monitor disponible en tienda electronica. ID Registro: 111.,913.12,120,1,1
63,Hard Disk Lote 5,Excelente Hard Disk disponible en tienda electronica. ID Registro: 112.,68.62,121,1,1
69,Camera Lote 5,Excelente Camera disponible en tienda electronica. ID Registro: 113.,1553.53,122,1,1
73,Gaming Console Lote 5,Excelente Gaming Console disponible en tienda electronica. ID Registro: 114.,392.04,123,1,1
78,Keyboard Lote 5,Excelente Keyboard disponible en tienda electronica. ID Registro: 115.,123.94,124,1,1
81,Smart TV Lote 5,Excelente Smart TV disponible en tienda electronica. ID Registro: 116.,1887.14,125,1,1
85,Router Lote 5,Excelente Router disponible en tienda electronica. ID Registro: 117.,88.29,126,1,1
89,Speaker Lote 5,Excelente Speaker disponible en tienda electronica. ID Registro: 118.,445.64,127,1,1
93,Smart Home Hub Lote 5,Excelente Smart Home Hub disponible en tienda electronica. ID Registro: 119.,130.92,128,1,1
97,Smartphone Lote 5,Excelente Smartphone disponible en tienda electronica. ID Registro: 120.,339.4,129,1,1
102,Smartwatch Lote 6,Excelente Smartwatch disponible en tienda electronica. ID Registro: 121.,244.74,130,1,1
105,Scanner Lote 6,Excelente Scanner disponible en tienda electronica. ID Registro: 122.,270.96,131,1,1
109,USB Drive Lote 6,Excelente USB Drive disponible en tienda electronica. ID Registro: 123.,5.44,132,1,1
113,Printer Lote 6,Excelente Printer disponible en tienda electronica. ID Registro: 124.,279.8,133,1,1
117,Tablet Lote 6,Excelente Tablet disponible en tienda electronica. ID Registro: 125.,796.53,134,1,1
17,Power Bank Lote 6,Excelente Power Bank disponible en tienda electronica. ID Registro: 126.,49.38,135,1,1
21,Charger Lote 6,Excelente Charger disponible en tienda electronica. ID Registro: 127.,18.02,136,1,1
26,Mouse Lote 6,Excelente Mouse disponible en tienda electronica. ID Registro: 128.,19.42,137,1,1
29,VR Headset Lote 6,Excelente VR Headset disponible en tienda electronica. ID Registro: 129.,811.34,138,1,1
33,Laptop Lote 6,Excelente Laptop disponible en tienda electronica. ID Registro: 130.,1938.62,139,1,1
39,Drone Lote 6,Excelente Drone disponible en tienda electronica. ID Registro: 131.,1708.47,140,1,1
43,Headphones Lote 6,Excelente Headphones disponible en tienda electronica. ID Registro: 132.,134.21,141,1,1
47,Projector Lote 6,Excelente Projector disponible en tienda electronica. ID Registro: 133.,306.74,142,1,1
51,Graphics Card Lote 6,Excelente Graphics Card disponible en tienda electronica. ID Registro: 134.,1166.64,143,1,1
55,Monitor Lote 6,Excelente Monitor disponible en tienda electronica. ID Registro: 135.,913.12,144,1,1
59,Hard Disk Lote 6,Excelente Hard Disk disponible en tienda electronica. ID Registro: 136.,68.62,145,1,1
63,Camera Lote 6,Excelente Camera disponible en tienda electronica. ID Registro: 137.,1553.53,146,1,1
69,Gaming Console Lote 6,Excelente Gaming Console disponible en tienda electronica. ID Registro: 138.,392.04,147,1,1
73,Keyboard Lote 6,Excelente Keyboard disponible en tienda electronica. ID Registro: 139.,123.94,148,1,1
78,Smart TV Lote 6,Excelente Smart TV disponible en tienda electronica. ID Registro: 140.,1887.14,149,1,1
81,Router Lote 6,Excelente Router disponible en tienda electronica. ID Registro: 141.,88.29,150,1,1
85,Speaker Lote 6,Excelente Speaker disponible en tienda electronica. ID Registro: 142.,445.64,151,1,1
89,Smart Home Hub Lote 6,Excelente Smart Home Hub disponible en tienda electronica. ID Registro: 143.,130.92,152,1,1
93,Smartphone Lote 6,Excelente Smartphone disponible en tienda electronica. ID Registro: 144.,339.4,153,1,1
97,Smartwatch Lote 7,Excelente Smartwatch disponible en tienda electronica. ID Registro: 145.,244.74,154,1,1
102,Scanner Lote 7,Excelente Scanner disponible en tienda electronica. ID Registro: 146.,270.96,155,1,1
105,USB Drive Lote 7,Excelente USB Drive disponible en tienda electronica. ID Registro: 147.,5.44,156,1,1
109,Printer Lote 7,Excelente Printer disponible en tienda electronica. ID Registro: 148.,279.8,157,1,1
113,Tablet Lote 7,Excelente Tablet disponible en tienda electronica. ID Registro: 149.,796.53,158,1,1
117,Power Bank Lote 7,Excelente Power Bank disponible en tienda electronica. ID Registro: 150.,49.38,159,1,1
17,Charger Lote 7,Excelente Charger disponible en tienda electronica. ID Registro: 151.,18.02,10,1,1
21,Mouse Lote 7,Excelente Mouse disponible en tienda electronica. ID Registro: 152.,19.42,11,1,1
26,VR Headset Lote 7,Excelente VR Headset disponible en tienda electronica. ID Registro: 153.,811.34,12,1,1
29,Laptop Lote 7,Excelente Laptop disponible en tienda electronica. ID Registro: 154.,1938.62,13,1,1
33,Drone Lote 7,Excelente Drone disponible en tienda electronica. ID Registro: 155.,1708.47,14,1,1
39,Headphones Lote 7,Excelente Headphones disponible en tienda electronica. ID Registro: 156.,134.21,15,1,1
43,Projector Lote 7,Excelente Projector disponible en tienda electronica. ID Registro: 157.,306.74,16,1,1
47,Graphics Card Lote 7,Excelente Graphics Card disponible en tienda electronica. ID Registro: 158.,1166.64,17,1,1
51,Monitor Lote 7,Excelente Monitor disponible en tienda electronica. ID Registro: 159.,913.12,18,1,1
55,Hard Disk Lote 7,Excelente Hard Disk disponible en tienda electronica. ID Registro: 160.,68.62,19,1,1
59,Camera Lote 7,Excelente Camera disponible en tienda electronica. ID Registro: 161.,1553.53,20,1,1
63,Gaming Console Lote 7,Excelente Gaming Console disponible en tienda electronica. ID Registro: 162.,392.04,21,1,1
69,Keyboard Lote 7,Excelente Keyboard disponible en tienda electronica. ID Registro: 163.,123.94,22,1,1
73,Smart TV Lote 7,Excelente Smart TV disponible en tienda electronica. ID Registro: 164.,1887.14,23,1,1
78,Router Lote 7,Excelente Router disponible en tienda electronica. ID Registro: 165.,88.29,24,1,1
81,Speaker Lote 7,Excelente Speaker disponible en tienda electronica. ID Registro: 166.,445.64,25,1,1
85,Smart Home Hub Lote 7,Excelente Smart Home Hub disponible en tienda electronica. ID Registro: 167.,130.92,26,1,1
89,Smartphone Lote 7,Excelente Smartphone disponible en tienda electronica. ID Registro: 168.,339.4,27,1,1
93,Smartwatch Lote 8,Excelente Smartwatch disponible en tienda electronica. ID Registro: 169.,244.74,28,1,1
97,Scanner Lote 8,Excelente Scanner disponible en tienda electronica. ID Registro: 170.,270.96,29,1,1
102,USB Drive Lote 8,Excelente USB Drive disponible en tienda electronica. ID Registro: 171.,5.44,30,1,1
105,Printer Lote 8,Excelente Printer disponible en tienda electronica. ID Registro: 172.,279.8,31,1,1
109,Tablet Lote 8,Excelente Tablet disponible en tienda electronica. ID Registro: 173.,796.53,32,1,1
113,Power Bank Lote 8,Excelente Power Bank disponible en tienda electronica. ID Registro: 174.,49.38,33,1,1
117,Charger Lote 8,Excelente Charger disponible en tienda electronica. ID Registro: 175.,18.02,34,1,1
17,Mouse Lote 8,Excelente Mouse disponible en tienda electronica. ID Registro: 176.,19.42,35,1,1
21,VR Headset Lote 8,Excelente VR Headset disponible en tienda electronica. ID Registro: 177.,811.34,36,1,1
26,Laptop Lote 8,Excelente Laptop disponible en tienda electronica. ID Registro: 178.,1938.62,37,1,1
29,Drone Lote 8,Excelente Drone disponible en tienda electronica. ID Registro: 179.,1708.47,38,1,1
33,Headphones Lote 8,Excelente Headphones disponible en tienda electronica. ID Registro: 180.,134.21,39,1,1
39,Projector Lote 8,Excelente Projector disponible en tienda electronica. ID Registro: 181.,306.74,40,1,1
43,Graphics Card Lote 8,Excelente Graphics Card disponible en tienda electronica. ID Registro: 182.,1166.64,41,1,1
47,Monitor Lote 8,Excelente Monitor disponible en tienda electronica. ID Registro: 183.,913.12,42,1,1
51,Hard Disk Lote 8,Excelente Hard Disk disponible en tienda electronica. ID Registro: 184.,68.62,43,1,1
55,Camera Lote 8,Excelente Camera disponible en tienda electronica. ID Registro: 185.,1553.53,44,1,1
59,Gaming Console Lote 8,Excelente Gaming Console disponible en tienda electronica. ID Registro: 186.,392.04,45,1,1
63,Keyboard Lote 8,Excelente Keyboard disponible en tienda electronica. ID Registro: 187.,123.94,46,1,1
69,Smart TV Lote 8,Excelente Smart TV disponible en tienda electronica. ID Registro: 188.,1887.14,47,1,1
73,Router Lote 8,Excelente Router disponible en tienda electronica. ID Registro: 189.,88.29,48,1,1
78,Speaker Lote 8,Excelente Speaker disponible en tienda electronica. ID Registro: 190.,445.64,49,1,1
81,Smart Home Hub Lote 8,Excelente Smart Home Hub disponible en tienda electronica. ID Registro: 191.,130.92,50,1,1
85,Smartphone Lote 8,Excelente Smartphone disponible en tienda electronica. ID Registro: 192.,339.4,51,1,1
89,Smartwatch Lote 9,Excelente Smartwatch disponible en tienda electronica. ID Registro: 193.,244.74,52,1,1
93,Scanner Lote 9,Excelente Scanner disponible en tienda electronica. ID Registro: 194.,270.96,53,1,1
97,USB Drive Lote 9,Excelente USB Drive disponible en tienda electronica. ID Registro: 195.,5.44,54,1,1
102,Printer Lote 9,Excelente Printer disponible en tienda electronica. ID Registro: 196.,279.8,55,1,1
105,Tablet Lote 9,Excelente Tablet disponible en tienda electronica. ID Registro: 197.,796.53,56,1,1
109,Power Bank Lote 9,Excelente Power Bank disponible en tienda electronica. ID Registro: 198.,49.38,57,1,1
113,Charger Lote 9,Excelente Charger disponible en tienda electronica. ID Registro: 199.,18.02,58,1,1
117,Mouse Lote 9,Excelente Mouse disponible en tienda electronica. ID Registro: 200.,19.42,59,1,1
17,VR Headset Lote 9,Excelente VR Headset disponible en tienda electronica. ID Registro: 201.,811.34,60,1,1
21,Laptop Lote 9,Excelente Laptop disponible en tienda electronica. ID Registro: 202.,1938.62,61,1,1
26,Drone Lote 9,Excelente Drone disponible en tienda electronica. ID Registro: 203.,1708.47,62,1,1
29,Headphones Lote 9,Excelente Headphones disponible en tienda electronica. ID Registro: 204.,134.21,63,1,1
33,Projector Lote 9,Excelente Projector disponible en tienda electronica. ID Registro: 205.,306.74,64,1,1
39,Graphics Card Lote 9,Excelente Graphics Card disponible en tienda electronica. ID Registro: 206.,1166.64,65,1,1
43,Monitor Lote 9,Excelente Monitor disponible en tienda electronica. ID Registro: 207.,913.12,66,1,1
47,Hard Disk Lote 9,Excelente Hard Disk disponible en tienda electronica. ID Registro: 208.,68.62,67,1,1
51,Camera Lote 9,Excelente Camera disponible en tienda electronica. ID Registro: 209.,1553.53,68,1,1
55,Gaming Console Lote 9,Excelente Gaming Console disponible en tienda electronica. ID Registro: 210.,392.04,69,1,1
59,Keyboard Lote 9,Excelente Keyboard disponible en tienda electronica. ID Registro: 211.,123.94,70,1,1
63,Smart TV Lote 9,Excelente Smart TV disponible en tienda electronica. ID Registro: 212.,1887.14,71,1,1
69,Router Lote 9,Excelente Router disponible en tienda electronica. ID Registro: 213.,88.29,72,1,1
73,Speaker Lote 9,Excelente Speaker disponible en tienda electronica. ID Registro: 214.,445.64,73,1,1
78,Smart Home Hub Lote 9,Excelente Smart Home Hub disponible en tienda electronica. ID Registro: 215.,130.92,74,1,1
81,Smartphone Lote 9,Excelente Smartphone disponible en tienda electronica. ID Registro: 216.,339.4,75,1,1
85,Smartwatch Lote 10,Excelente Smartwatch disponible en tienda electronica. ID Registro: 217.,244.74,76,1,1
89,Scanner Lote 10,Excelente Scanner disponible en tienda electronica. ID Registro: 218.,270.96,77,1,1
93,USB Drive Lote 10,Excelente USB Drive disponible en tienda electronica. ID Registro: 219.,5.44,78,1,1
97,Printer Lote 10,Excelente Printer disponible en tienda electronica. ID Registro: 220.,279.8,79,1,1
102,Tablet Lote 10,Excelente Tablet disponible en tienda electronica. ID Registro: 221.,796.53,80,1,1
105,Power Bank Lote 10,Excelente Power Bank disponible en tienda electronica. ID Registro: 222.,49.38,81,1,1
109,Charger Lote 10,Excelente Charger disponible en tienda electronica. ID Registro: 223.,18.02,82,1,1
113,Mouse Lote 10,Excelente Mouse disponible en tienda electronica. ID Registro: 224.,19.42,83,1,1
117,VR Headset Lote 10,Excelente VR Headset disponible en tienda electronica. ID Registro: 225.,811.34,84,1,1
17,Laptop Lote 10,Excelente Laptop disponible en tienda electronica. ID Registro: 226.,1938.62,85,1,1
21,Drone Lote 10,Excelente Drone disponible en tienda electronica. ID Registro: 227.,1708.47,86,1,1
26,Headphones Lote 10,Excelente Headphones disponible en tienda electronica. ID Registro: 228.,134.21,87,1,1
29,Projector Lote 10,Excelente Projector disponible en tienda electronica. ID Registro: 229.,306.74,88,1,1
33,Graphics Card Lote 10,Excelente Graphics Card disponible en tienda electronica. ID Registro: 230.,1166.64,89,1,1
39,Monitor Lote 10,Excelente Monitor disponible en tienda electronica. ID Registro: 231.,913.12,90,1,1
43,Hard Disk Lote 10,Excelente Hard Disk disponible en tienda electronica. ID Registro: 232.,68.62,91,1,1
47,Camera Lote 10,Excelente Camera disponible en tienda electronica. ID Registro: 233.,1553.53,92,1,1
51,Gaming Console Lote 10,Excelente Gaming Console disponible en tienda electronica. ID Registro: 234.,392.04,93,1,1
55,Keyboard Lote 10,Excelente Keyboard disponible en tienda electronica. ID Registro: 235.,123.94,94,1,1
59,Smart TV Lote 10,Excelente Smart TV disponible en tienda electronica. ID Registro: 236.,1887.14,95,1,1
63,Router Lote 10,Excelente Router disponible en tienda electronica. ID Registro: 237.,88.29,96,1,1
69,Speaker Lote 10,Excelente Speaker disponible en tienda electronica. ID Registro: 238.,445.64,97,1,1
73,Smart Home Hub Lote 10,Excelente Smart Home Hub disponible en tienda electronica. ID Registro: 239.,130.92,98,1,1
78,Smartphone Lote 10,Excelente Smartphone disponible en tienda electronica. ID Registro: 240.,339.4,99,1,1
81,Smartwatch Lote 11,Excelente Smartwatch disponible en tienda electronica. ID Registro: 241.,244.74,100,1,1
85,Scanner Lote 11,Excelente Scanner disponible en tienda electronica. ID Registro: 242.,270.96,101,1,1
89,USB Drive Lote 11,Excelente USB Drive disponible en tienda electronica. ID Registro: 243.,5.44,102,1,1
93,Printer Lote 11,Excelente Printer disponible en tienda electronica. ID Registro: 244.,279.8,103,1,1
97,Tablet Lote 11,Excelente Tablet disponible en tienda electronica. ID Registro: 245.,796.53,104,1,1
102,Power Bank Lote 11,Excelente Power Bank disponible en tienda electronica. ID Registro: 246.,49.38,105,1,1
105,Charger Lote 11,Excelente Charger disponible en tienda electronica. ID Registro: 247.,18.02,106,1,1
109,Mouse Lote 11,Excelente Mouse disponible en tienda electronica. ID Registro: 248.,19.42,107,1,1
113,VR Headset Lote 11,Excelente VR Headset disponible en tienda electronica. ID Registro: 249.,811.34,108,1,1
117,Laptop Lote 11,Excelente Laptop disponible en tienda electronica. ID Registro: 250.,1938.62,109,1,1
17,Drone Lote 11,Excelente Drone disponible en tienda electronica. ID Registro: 251.,1708.47,110,1,1
21,Headphones Lote 11,Excelente Headphones disponible en tienda electronica. ID Registro: 252.,134.21,111,1,1
26,Projector Lote 11,Excelente Projector disponible en tienda electronica. ID Registro: 253.,306.74,112,1,1
29,Graphics Card Lote 11,Excelente Graphics Card disponible en tienda electronica. ID Registro: 254.,1166.64,113,1,1
33,Monitor Lote 11,Excelente Monitor disponible en tienda electronica. ID Registro: 255.,913.12,114,1,1
39,Hard Disk Lote 11,Excelente Hard Disk disponible en tienda electronica. ID Registro: 256.,68.62,115,1,1
43,Camera Lote 11,Excelente Camera disponible en tienda electronica. ID Registro: 257.,1553.53,116,1,1
47,Gaming Console Lote 11,Excelente Gaming Console disponible en tienda electronica. ID Registro: 258.,392.04,117,1,1
51,Keyboard Lote 11,Excelente Keyboard disponible en tienda electronica. ID Registro: 259.,123.94,118,1,1
55,Smart TV Lote 11,Excelente Smart TV disponible en tienda electronica. ID Registro: 260.,1887.14,119,1,1
59,Router Lote 11,Excelente Router disponible en tienda electronica. ID Registro: 261.,88.29,120,1,1
63,Speaker Lote 11,Excelente Speaker disponible en tienda electronica. ID Registro: 262.,445.64,121,1,1
69,Smart Home Hub Lote 11,Excelente Smart Home Hub disponible en tienda electronica. ID Registro: 263.,130.92,122,1,1
73,Smartphone Lote 11,Excelente Smartphone disponible en tienda electronica. ID Registro: 264.,339.4,123,1,1
78,Smartwatch Lote 12,Excelente Smartwatch disponible en tienda electronica. ID Registro: 265.,244.74,124,1,1
81,Scanner Lote 12,Excelente Scanner disponible en tienda electronica. ID Registro: 266.,270.96,125,1,1
85,USB Drive Lote 12,Excelente USB Drive disponible en tienda electronica. ID Registro: 267.,5.44,126,1,1
89,Printer Lote 12,Excelente Printer disponible en tienda electronica. ID Registro: 268.,279.8,127,1,1
93,Tablet Lote 12,Excelente Tablet disponible en tienda electronica. ID Registro: 269.,796.53,128,1,1
